cluster,violation_count,lat_center,lon_center,lat_std,lon_std,unique_vehicles,peak_violations,dominant_hour,dominant_day,dominant_type,peak_ratio,spread_m,hotspot_score,rank
142,340,12.995458590533453,77.69591397807537,0.00041326124989670966,0.0013369811982015581,327,68,6,Sunday,['NO PARKING'],0.2,155.33273470494362,408.0,57
206,279,12.972287781576801,77.71169016148939,0.0016089735781610905,0.0005896405606607318,269,106,21,Monday,['WRONG PARKING'],0.37992831541218636,190.21112242202514,385.0,58
72,292,12.911652108561643,77.63808075856164,0.0004460482095611957,0.00014287720087924588,268,89,6,Saturday,['NO PARKING'],0.3047945205479452,51.98935947130578,381.0,59
134,284,12.96094113028169,77.51174676021127,0.0001540972456900157,0.00048159946109021926,270,96,6,Thursday,['NO PARKING'],0.3380281690140845,56.127378250531535,380.0,60
109,273,12.899846676590899,77.67547820969543,0.0010115565305757464,0.00011710451229994187,268,91,5,Monday,['NO PARKING'],0.3333333333333333,113.0326729858725,364.0,61
147,318,13.022815604402515,77.59284681257861,0.0014905942235722892,0.00045963228426444273,305,45,2,Tuesday,['WRONG PARKING'],0.14150943396226415,173.14338392888726,363.0,62
121,289,13.000113515570934,77.61120114394464,0.00046854928954778664,0.0004798145169439631,264,62,22,Saturday,['NO PARKING'],0.21453287197231835,74.44123843440642,351.0,63
178,263,12.917035693850622,77.57352129489577,0.0006382743446498564,0.000271598542653111,242,74,5,Friday,['NO PARKING'],0.2813688212927757,76.99591689948512,337.0,64
1,241,12.957526399585062,77.51893800165975,0.0010263221870469147,0.0004030547466870073,235,91,6,Thursday,['NO PARKING'],0.3775933609958506,122.39180132314937,332.0,65
315,235,13.049996337021277,77.59312144851063,0.0006806257798947507,0.000356289621142115,211,93,22,Tuesday,['NO PARKING'],0.39574468085106385,85.2747157678209,328.0,66
44,263,12.983765036779275,77.57810147083194,0.0005187048208129692,0.0015354565837255088,260,47,4,Friday,['NO PARKING'],0.17870722433460076,179.89814934296612,310.0,67
67,247,12.987860847220224,77.5374941879784,0.0011804937734963125,0.00034198954134719733,234,50,5,Wednesday,['WRONG PARKING'],0.20242914979757085,136.42267566961962,297.0,68
29,279,12.927393358064515,77.58582362293907,0.0009841019242984837,0.0006289587276227664,273,16,3,Sunday,['NO PARKING'],0.05734767025089606,129.63952639652715,295.0,69
240,180,12.93091336,77.60653703,9.328662541018767e-05,0.00048331524704955725,126,111,21,Friday,['NO PARKING'],0.6166666666666667,54.638167002178726,291.0,70
107,233,12.979085451301474,77.6951208354154,0.0005335399441154622,0.00048481944868584856,219,56,21,Thursday,['NO PARKING'],0.24034334763948498,80.02128266025363,289.0,71
149,230,13.030605120794887,77.53627014192803,0.00031032153741518376,0.0006913054567616475,225,55,4,Tuesday,['WRONG PARKING'],0.2391304347826087,84.11154116671065,285.0,72
17,169,12.934985637869822,77.53646014260354,0.00013667145297141848,0.00012826384250117678,105,114,21,Tuesday,['NO PARKING'],0.6745562130177515,20.804935633097493,283.0,73
